,date,open,close,min,max,bullish
317,20010905.0,5135.0,5066.0,5035.5,5164.0,0
318,20010906.0,5120.0,4887.0,4858.0,5120.0,0
319,20010907.0,4910.0,4726.0,4713.0,4922.0,0
320,20010910.0,4711.0,4687.0,4535.5,4767.0,0
321,20010911.0,4730.0,4270.5,4125.0,4792.5,0
322,20010912.0,4180.0,4335.0,4153.0,4409.0,1
323,20010913.0,4387.0,4370.5,4283.0,4402.0,0
324,20010914.0,4399.0,4150.0,4127.0,4444.0,0
325,20010917.0,4166.0,4224.5,3987.5,4344.5,0
326,20010918.0,4164.5,4194.0,4125.0,4220.0,1
327,20010919.0,4194.0,4034.0,4015.5,4286.0,0
328,20010920.0,4105.0,3783.5,3773.5,4109.5,0
329,20010921.0,3718.0,3843.5,3539.5,3868.0,1
330,20010924.0,3950.0,4086.0,3903.0,4093.0,1
331,20010925.0,4011.5,4053.0,3983.5,4169.5,1
332,20010926.0,4108.0,4090.0,4065.0,4221.0,1
333,20010927.0,4095.0,4201.0,4081.5,4207.5,1
334,20010928.0,4286.0,4311.5,4276.5,4356.0,1
335,20011001.0,4325.0,4299.0,4213.5,4325.0,0
336,20011002.0,4282.0,4308.5,4190.0,4331.5,1
337,20011003.0,4310.0,4461.0,4214.0,4478.5,1
338,20011004.0,4481.0,4585.0,4447.0,4593.0,1
339,20011005.0,4516.0,4519.0,4478.0,4628.5,0
340,20011008.0,4407.0,4511.5,4363.0,4540.5,1
341,20011009.0,4493.0,4511.5,4467.0,4578.5,1
342,20011010.0,4475.0,4643.0,4456.0,4662.0,1
343,20011011.0,4679.0,4730.0,4651.0,4772.0,1
344,20011012.0,4740.0,4624.0,4614.0,4750.0,0
345,20011015.0,4625.0,4582.0,4530.0,4658.0,0
346,20011016.0,4590.0,4675.0,4544.5,4679.0,1
347,20011017.0,4724.0,4660.0,4641.0,4814.0,1
348,20011018.0,4550.0,4579.5,4541.5,4639.5,1
349,20011019.0,4587.0,4538.5,4471.0,4624.0,0
350,20011022.0,4565.0,4626.0,4508.0,4665.5,1
351,20011023.0,4665.0,4739.5,4661.5,4765.5,1
352,20011024.0,4708.0,4821.0,4684.0,4871.0,1
353,20011025.0,4820.5,4726.5,4681.0,4905.5,0
354,20011026.0,4802.0,4838.5,4752.0,4843.5,1
355,20011029.0,4795.0,4700.0,4689.0,4802.0,0
356,20011030.0,4620.0,4588.0,4502.5,4639.5,0
357,20011031.0,4557.0,4578.5,4480.5,4655.0,1
358,20011101.0,4578.0,4649.5,4502.5,4663.0,1
359,20011102.0,4668.0,4591.0,4587.5,4677.0,0
360,20011105.0,4637.0,4779.5,4630.0,4783.0,1
361,20011106.0,4800.0,4742.0,4735.0,4842.0,0
362,20011107.0,4777.0,4883.0,4697.0,4887.0,1
363,20011108.0,4856.5,4982.0,4855.0,5029.5,1
364,20011109.0,4930.0,4932.0,4908.0,4980.0,0
365,20011112.0,4923.0,4852.0,4670.0,4926.5,0
366,20011113.0,4874.5,4973.0,4864.0,4997.0,1
367,20011114.0,4976.0,4969.0,4957.0,5067.5,1
368,20011115.0,5055.0,5046.5,4984.0,5094.5,0
369,20011116.0,5035.5,5058.5,5007.5,5136.0,1
370,20011119.0,5109.0,5199.0,5086.0,5215.0,1
371,20011120.0,5218.0,5137.0,5083.0,5227.0,0
372,20011121.0,5098.0,5099.5,5061.0,5171.0,0
373,20011122.0,5116.5,5131.5,5096.5,5160.0,1
374,20011123.0,5150.0,5169.0,5044.0,5174.0,0
375,20011126.0,5205.0,5140.0,5117.5,5235.0,0
376,20011127.0,5134.0,5060.5,4979.5,5162.0,0
377,20011128.0,4999.0,4941.0,4925.0,5028.0,0
378,20011129.0,4910.0,4935.0,4904.5,4990.0,1
379,20011130.0,5021.0,4984.0,4968.0,5054.5,1
380,20011203.0,4960.0,5008.5,4882.0,5009.5,1
381,20011204.0,5010.0,5032.0,4987.5,5050.0,1
382,20011205.0,5115.0,5279.0,5108.0,5295.0,1
383,20011206.0,5258.0,5278.5,5251.0,5347.0,1
384,20011207.0,5295.0,5227.0,5215.0,5308.5,0
385,20011210.0,5210.0,5138.5,5118.5,5221.0,0
386,20011211.0,5132.0,5142.0,5083.0,5177.0,1
387,20011212.0,5158.0,5063.5,5033.0,5201.5,0
388,20011213.0,5052.5,4963.0,4952.5,5103.0,0
389,20011214.0,4941.0,4930.0,4905.5,4990.0,0
390,20011217.0,4936.0,5095.5,4908.5,5106.5,1
391,20011218.0,5090.0,5042.0,5036.0,5120.0,0
392,20011219.0,5010.0,5000.5,4951.0,5065.0,0
393,20011220.0,4985.0,4971.5,4925.0,5031.5,0
394,20011221.0,4911.0,5061.5,4875.0,5063.5,1
395,20011227.0,5130.0,5160.0,5075.0,5160.0,1
396,20020102.0,5180.0,5194.0,5136.5,5227.0,0
397,20020103.0,5224.0,5314.0,5210.0,5322.5,1
398,20020104.0,5348.0,5330.0,5293.5,5385.5,0
399,20020107.0,5330.0,5259.0,5252.0,5381.0,0
400,20020108.0,5234.0,5261.0,5216.0,5293.0,1
401,20020109.0,5264.0,5328.0,5210.5,5338.0,1
402,20020110.0,5255.0,5254.0,5202.0,5282.5,0
403,20020111.0,5247.0,5247.0,5216.5,5303.0,1
404,20020114.0,5214.0,5097.0,5082.5,5220.0,0
405,20020115.0,5092.0,5098.0,5057.5,5137.0,1
406,20020116.0,5068.0,5018.0,5000.5,5081.0,0
407,20020117.0,5051.0,5156.0,5039.5,5164.5,1
408,20020118.0,5100.0,5140.5,5090.0,5161.5,1
409,20020121.0,5140.0,5100.0,5047.0,5143.0,0
410,20020122.0,5068.5,5062.0,5054.0,5161.5,1
411,20020123.0,5050.0,5190.0,5020.0,5195.5,1
412,20020124.0,5185.0,5191.0,5170.0,5244.0,1
413,20020125.0,5191.0,5180.0,5105.5,5196.5,0
414,20020128.0,5185.0,5170.0,5152.5,5227.5,1
415,20020129.0,5214.5,5096.0,5092.5,5229.0,0
416,20020130.0,5045.0,5088.5,5003.0,5089.5,1
417,20020131.0,5125.0,5134.5,5074.5,5140.0,0
418,20020201.0,5149.0,5118.0,5098.5,5186.0,0
419,20020204.0,5115.0,5030.0,5009.0,5115.0,0
420,20020205.0,4961.0,4949.5,4890.0,4994.5,0
421,20020206.0,4937.0,4820.0,4795.0,4964.5,0
422,20020207.0,4799.0,4874.0,4745.5,4892.0,1
423,20020211.0,4920.0,4961.5,4887.5,4963.5,0
424,20020212.0,4975.0,4884.5,4872.0,4988.0,0
425,20020213.0,4927.0,4947.0,4846.0,4962.0,1
426,20020214.0,4970.0,4982.0,4928.0,5007.0,1
427,20020215.0,4974.0,4866.0,4863.0,4983.5,0
428,20020218.0,4873.0,4860.0,4851.0,4909.5,0
429,20020219.0,4825.0,4787.0,4769.5,4838.5,0
430,20020220.0,4775.0,4794.5,4715.5,4816.5,0
431,20020221.0,4847.5,4840.0,4799.5,4879.0,0
432,20020222.0,4780.0,4753.0,4741.0,4796.5,0
433,20020225.0,4787.0,4877.5,4740.5,4882.5,1
434,20020226.0,4885.0,4910.5,4868.5,4945.5,1
435,20020227.0,4936.0,4966.0,4932.5,5017.0,1
436,20020228.0,4946.0,5060.0,4933.5,5082.0,1
437,20020301.0,5015.5,5120.0,5015.5,5124.5,1
438,20020304.0,5175.0,5245.0,5167.0,5272.0,1
439,20020305.0,5247.0,5229.0,5213.0,5290.5,0
440,20020306.0,5224.0,5296.0,5202.0,5304.0,1
441,20020307.0,5338.0,5281.5,5268.5,5374.0,0
442,20020308.0,5310.0,5356.0,5292.5,5381.0,1
443,20020311.0,5334.0,5363.0,5301.5,5403.5,0
444,20020312.0,5332.0,5294.0,5248.0,5340.0,0
445,20020313.0,5284.0,5236.0,5236.0,5340.0,0
446,20020314.0,5249.0,5286.0,5234.0,5293.0,1
447,20020315.0,5274.5,5437.0,5269.0,5447.5,1
448,20020318.0,5440.0,5472.5,5436.0,5517.0,1
449,20020319.0,5478.0,5514.5,5463.5,5520.0,1
450,20020321.0,5385.0,5403.5,5357.0,5436.0,1
451,20020322.0,5434.5,5402.0,5378.0,5452.0,0
452,20020325.0,5402.0,5368.5,5352.0,5449.0,0
453,20020326.0,5342.0,5427.5,5341.0,5446.0,1
454,20020327.0,5425.0,5392.0,5379.0,5434.0,0
455,20020328.0,5396.0,5395.5,5395.0,5469.5,1
456,20020402.0,5410.0,5349.0,5331.5,5419.0,0
457,20020403.0,5346.0,5322.0,5305.5,5364.0,0
458,20020404.0,5307.0,5286.0,5251.5,5330.5,0
459,20020405.0,5293.0,5298.0,5274.5,5332.5,1
460,20020408.0,5293.5,5210.0,5165.0,5296.5,0
